,city_code,name,region,lat,lon,population,demand,geometry,warehouse_id,build_warehouse
31,60,Tokat_Yeşilyurt,TR83_Samsun_alt_bölgesi,40.0103794,36.2163407,8336,170.0,POINT (36.2163407 40.0103794),Ambar 32,Evet
32,65,Van,TRB2_Van_alt_bölgesi,38.5012,43.373,1128749,22569.0,POINT (43.373 38.5012),Ambar 33,Evet
40,34,İstanbul_Eyüpsultan,TR10_İstanbul_alt_bölgesi,41.1871598,28.8829816,422913,8462.0,POINT (28.8829816 41.1871598),Ambar 41,Evet
45,15,Burdur_Çavdır,TR61_Antalya_alt_bölgesi,37.155,29.6938889,12530,242.0,POINT (29.6938889 37.155),Ambar 46,Evet
48,25,Erzurum,TRA1_Erzurum_alt_bölgesi,39.9056,41.2658,749754,14992.0,POINT (41.2658 39.9056),Ambar 49,Evet
54,43,Kütahya,TR33_Manisa_alt_bölgesi,39.4166667,29.9833333,580701,11607.0,POINT (29.9833333 39.4166667),Ambar 55,Evet
62,22,Edirne_Lalapaşa,TR21_Tekirdağ_alt_bölgesi,41.8333333,26.7333333,6225,120.0,POINT (26.7333333 41.8333333),Ambar 63,Evet
76,31,Hatay,TR63_Hatay_alt_bölgesi,36.4018488,36.3498097,1686043,33719.0,POINT (36.3498097 36.4018488),Ambar 77,Evet
82,9,Aydın_Buharkent,TR32_Aydın_alt_bölgesi,37.970211,28.747219,13022,258.0,POINT (28.747219 37.970211),Ambar 83,Evet
83,17,Çanakkale_Gelibolu,TR22_Balıkesir_alt_bölgesi,40.417447,26.677435,43984,883.0,POINT (26.677435 40.417447),Ambar 84,Evet
84,67,Zonguldak,TR81_Zonguldak_alt_bölgesi,41.456409,31.798731,588510,11770.0,POINT (31.798731 41.456409),Ambar 85,Evet
86,33,Mersin,TR62_Adana_alt_bölgesi,36.8121,34.6415,1916432,38330.0,POINT (34.6415 36.8121),Ambar 87,Evet
88,44,Malatya,TRB1_Malatya_alt_bölgesi,38.35519,38.30946,812580,16245.0,POINT (38.30946 38.35519),Ambar 89,Evet
89,59,Tekirdağ_Çorlu,TR21_Tekirdağ_alt_bölgesi,41.167461,27.805599,290155,5812.0,POINT (27.805599 41.167461),Ambar 90,Evet
92,61,Trabzon,TR90_Trabzon_alt_bölgesi,41.0,39.7333333,818023,16370.0,POINT (39.7333333 41),Ambar 93,Evet
101,16,Bursa_İnegöl,TR41_Bursa_alt_bölgesi,40.0833333,29.5166667,294485,5883.0,POINT (29.5166667 40.0833333),Ambar 102,Evet
104,19,Çorum_Mecitözü,TR83_Samsun_alt_bölgesi,40.52,35.2952778,13840,285.0,POINT (35.2952778 40.52),Ambar 105,Evet
112,55,Samsun_19 Mayıs,TR83_Samsun_alt_bölgesi,41.5,36.083333,26989,542.0,POINT (36.083333 41.5),Ambar 113,Evet
125,68,Aksaray_Eskil,TR71_Kırıkkale_alt_bölgesi,38.4016667,33.4130556,27188,547.0,POINT (33.4130556 38.4016667),Ambar 126,Evet
126,52,Ordu_Ünye,TR90_Trabzon_alt_bölgesi,41.127831,37.287189,132432,2639.0,POINT (37.287189 41.127831),Ambar 127,Evet
129,68,Aksaray_Gülağaç,TR71_Kırıkkale_alt_bölgesi,38.4,34.35,19158,388.0,POINT (34.35 38.4),Ambar 130,Evet
131,6,Ankara,TR51_Ankara_alt_bölgesi,39.9334,32.85411,5782285,115642.0,POINT (32.85411 39.9334),Ambar 132,Evet
132,34,İstanbul_Pendik,TR10_İstanbul_alt_bölgesi,40.879326,29.258135,750435,15007.0,POINT (29.258135 40.879326),Ambar 133,Evet
142,56,Siirt,TRC3_Mardin_alt_bölgesi,37.94429,41.93288,331311,6617.0,POINT (41.93288 37.94429),Ambar 143,Evet
143,7,Antalya_Manavgat,TR61_Antalya_alt_bölgesi,36.790081,31.46286,252941,5062.0,POINT (31.46286 36.790081),Ambar 144,Evet
147,41,Kocaeli_Kartepe,TR42_Kocaeli_alt_bölgesi,40.7013917,30.0896313,136625,2737.0,POINT (30.0896313 40.7013917),Ambar 148,Evet
149,45,Manisa,TR33_Manisa_alt_bölgesi,38.619099,27.428921,1468279,29357.0,POINT (27.428921 38.619099),Ambar 150,Evet
