Sıra,İl Adı,Yüzölçümü (km^2)
1,Konya,40838
2,Sivas,28164
3,Ankara,25632
4,Erzurum,25006
5,Van,20921
6,Antalya,20177
7,Şanlıurfa,19242
8,Kayseri,16970
9,Mersin,16010
10,Diyarbakır,15168
11,Balıkesir,14583
12,Kahramanmaraş,14520
13,Afyonkarahisar,14016
14,Eskişehir,13960
15,Adana,13844
16,Yozgat,13690
17,Manisa,13339
18,Kastamonu,13064
19,Muğla,12654
20,Çorum,12428
21,Malatya,12259
22,Denizli,12134
23,İzmir,11891
24,Erzincan,11815
25,Kütahya,11634
26,Ağrı,11099
27,Bursa,10813
28,Kars,10193
29,Tokat,10042
30,Çanakkale,9817
31,Samsun,9725
32,Elazığ,9383
33,Isparta,8946
34,Mardin,8780
35,Karaman,8678
36,Muş,8650
37,Bolu,8313
38,Bitlis,8294
39,Aydın,8116
40,Bingöl,8004
41,Aksaray,7659
42,Tunceli,7582
43,Çankırı,7542
44,Artvin,7393
45,Adıyaman,7337
46,Niğde,7234
47,Burdur,7175
48,Hakkâri,7095
49,Şırnak,7078
50,Giresun,7025
51,Gaziantep,6803
52,Gümüşhane,6668
53,Kırşehir,6589
54,Kırklareli,6459
55,Tekirdağ,6190
56,Edirne,6145
57,Ordu,5861
58,Siirt,5718
59,Sinop,5718
60,Amasya,5628
61,Uşak,5556
62,Hatay,5524
63,Nevşehir,5485
64,İstanbul,5461
65,Ardahan,4934
66,Sakarya,4824
67,Kırıkkale,4791
68,Trabzon,4628
69,Batman,4477
70,Bilecik,4179
71,Karabük,4142
72,Rize,3835
73,Bayburt,3746
74,Iğdır,3664
75,Kocaeli,3397
76,Zonguldak,3342
77,Osmaniye,3320
78,Düzce,2492
79,Bartın,2330
80,Kilis,1412
81,Yalova,798
