İl,Nüfus
Adana-1,2274106
Adıyaman-2,635169
Afyonkarahisar-3,747555
Ağrı-4,510626
Aksaray-68,433055
Amasya-5,338267
Ankara-6,5782285
Antalya-7,2688004
Ardahan-75,92481
Artvin-8,169403
Aydın-9,1148241
Balıkesir-10,1257590
Bartın-74,203351
Batman-72,634491
Bayburt-69,84241
Bilecik-11,228673
Bingöl-12,282556
Bitlis-13,353988
Bolu-14,320824
Burdur-15,273799
Bursa-16,3194720
Çanakkale-17,559383
Çankırı-18,195766
Çorum-19,524130
Denizli-20,1056332
Diyarbakır-21,1804880
Düzce-81,405131
Edirne-22,414714
Elazığ-23,591497
Erzincan-24,239223
Erzurum-25,749754
Eskişehir-26,906617
Gaziantep-27,2154051
Giresun-28,450862
Gümüşhane-29,144544
Hakkari-30,275333
Hatay-31,1686043
Iğdır-76,203594
Isparta-32,445325
İstanbul-34,1590795
İzmir-35,4462056
Kahramanmaraş-46,1177436
Karabük-78,252058
Karaman-70,260838
Kars-36,274829
Kastamonu-37,378115
Kayseri-38,1441523
Kilis-79,147919
Kırıkkale-71,277046
Kırklareli-39,369347
Kırşehir-40,244519
Kocaeli-41,2079072
Konya-42,2296347
Kütahya-43,580701
Malatya-44,812580
Manisa-45,1468279
Mardin-47,870374
Mersin-33,1916432
Muğla-48,1048185
Muş-49,399202
Nevşehir-50,310011
Niğde-51,365419
Ordu-52,763190
Osmaniye-80,559405
Rize-53,344016
Sakarya-54,1080080
Samsun-55,1368488
Şanlıurfa-63,2170110
Siirt-56,331311
Sinop-57,220799
Şırnak-73,557605
Sivas-58,634924
Tekirdağ-59,1142451
Tokat-60,596454
Trabzon-61,818023
Tunceli-62,84366
Uşak-64,375454
Van-65,1128749
Yalova-77,296333
Yozgat-66,418442
Zonguldak-67,588510
