İlçe,Nüfus
Adana(Aladağ)-1757,15897
Adana(Ceyhan)-1219,158922
Adana(Çukurova)-2033,389175
Adana(Feke)-1329,15833
Adana(İmamoğlu)-1806,27037
Adana(Karaisalı)-1437,22042
Adana(Karataş)-1443,23499
Adana(Kozan)-1486,132703
Adana(Pozantı)-1580,19852
Adana(Saimbeyli)-1588,13621
Adana(Sarıçam)-2032,221733
Adana(Seyhan)-1104,795012
Adana(Tufanbeyli)-1687,16400
Adana(Yumurtalık)-1734,17654
Adana(Yüreğir)-1748,404726
Adıyaman(Besni)-1182,77180
Adıyaman(Çelikhan)-1246,14858
Adıyaman(Gerger)-1347,15711
Adıyaman(Gölbaşı)-1354,50324
Adıyaman(Kahta)-1425,128961
Adıyaman(Merkez)-1105,316140
Adıyaman(Samsat)-1592,6673
Adıyaman(Sincik)-1985,15947
Adıyaman(Tut)-1989,9375
Afyonkarahisar(Başmakçı)-1771,9353
Afyonkarahisar(Bayat)-1773,7679
Afyonkarahisar(Bolvadin)-1200,45960
Afyonkarahisar(Çay)-1239,30351
Afyonkarahisar(Çobanlar)-1906,14034
Afyonkarahisar(Dazkırı)-1267,11432
Afyonkarahisar(Dinar)-1281,47385
Afyonkarahisar(Emirdağ)-1306,43305
Afyonkarahisar(Evciler)-1923,7095
Afyonkarahisar(Hocalar)-1944,8743
Afyonkarahisar(İhsaniye)-1404,27038
Afyonkarahisar(İscehisar)-1809,24889
Afyonkarahisar(Kızılören)-1961,2096
Afyonkarahisar(Merkez)-1108,324996
Afyonkarahisar(Sandıklı)-1594,55198
Afyonkarahisar(Sinanpaşa)-1626,37991
Afyonkarahisar(Şuhut)-1664,35973
Afyonkarahisar(Sultandağı)-1639,14037
Ağrı(Diyadin)-1283,38369
Ağrı(Doğubayazıt)-1287,116493
Ağrı(Eleşkirt)-1301,30288
Ağrı(Hamur)-1379,16152
Ağrı(Merkez)-1111,148765
Ağrı(Patnos)-1568,114081
Ağrı(Taşlıçay)-1667,18614
Ağrı(Tutak)-1691,27864
Aksaray(Ağaçören)-1860,7577
Aksaray(Eskil)-1921,27188
Aksaray(Gülağaç)-1932,19158
Aksaray(Güzelyurt)-1861,10467
Aksaray(Merkez)-1120,319865
Aksaray(Ortaköy)-1557,31818
Aksaray(Sarıyahşi)-1866,5097
Aksaray(Sultanhanı)-2106,11885
Amasya(Göynücek)-1363,9906
Amasya(Gümüşhacıköy)-1368,22746
Amasya(Hamamözü)-1938,3495
Amasya(Merkez)-1134,149592
Amasya(Merzifon)-1524,75346
Amasya(Suluova)-1641,47038
Amasya(Taşova)-1668,30144
Ankara(Akyurt)-1872,40625
Ankara(Altındağ)-1130,413994
Ankara(Ayaş)-1157,12998
Ankara(Bala)-1167,20521
Ankara(Beypazarı)-1187,48357
Ankara(Çamlıdere)-1227,8100
Ankara(Çankaya)-1231,942553
Ankara(Çubuk)-1260,95449
Ankara(Elmadağ)-1302,44379
Ankara(Etimesgut)-1922,614891
Ankara(Evren)-1924,2952
Ankara(Gölbaşı)-1744,150047
Ankara(Güdül)-1365,8079
Ankara(Haymana)-1387,26016
Ankara(Kahramankazan)-1815,59123
Ankara(Kalecik)-1427,12794
Ankara(Keçiören)-1745,939279
Ankara(Kızılcahamam)-1473,26872
